system   D            wsystem.c:583  maybe_parent_dir                 [   0.00075] Also searching C:\Users\Adam\Documents\Visual Studio 2012\Projects\Parrot_1.0\
display  D   display_settings.c:191  debug_display_settings           [   0.01571] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01573] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01575] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01578] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01580] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01586] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01589] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01592] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01594] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01596] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01598] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01600] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01602] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01604] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01606] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01608] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01610] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01612] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01614] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01616] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01617] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01619] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01621] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01623] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01625] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01627] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01629] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01631] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01633] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01636] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01638] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01640] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01642] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01645] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01648] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01651] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01656] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01660] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01663] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01667] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01670] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01674] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01677] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01682] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01685] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01689] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01692] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01696] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01698] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01702] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01705] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01708] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01711] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01715] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01718] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01721] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01724] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01729] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01732] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01736] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01739] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01743] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01747] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01750] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01754] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01758] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01761] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01765] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01768] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01772] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01775] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01779] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01782] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01785] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01788] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01799] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01803] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01806] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01810] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01813] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01816] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01819] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01823] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01826] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01829] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01833] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.01838] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.01906] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.01910] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.02828] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.06391] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.06397] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.06402] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.06406] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.06410] Returning d3d_display: 0043C6E0
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.06412] al_display=0043C6E0
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.06414] al_display->vt=0043C618
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08352] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08366] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08369] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08371] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08373] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08375] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08377] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08379] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08381] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.08383] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.08385] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.08388] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.08390] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08621] added dtor for object 0045A958, func 53932595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.12774] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.12780] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.17606] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.17611] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.17613] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.17615] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.17616] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.17618] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.17619] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.17621] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.17623] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.17624] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.17626] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.17628] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.17629] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.17851] added dtor for object 004576D0, func 53932595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.20979] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.20992] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.25560] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.25566] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.25568] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.25569] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.25571] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.25572] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.25574] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.25575] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.25577] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.25578] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.25580] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.25582] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.25583] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.25802] added dtor for object 004577E0, func 53932595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.27999] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.28008] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.32865] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.32869] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.32871] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.32872] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.32874] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.32876] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.32878] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.32880] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.32881] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.32883] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.32885] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.32887] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.32889] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.33106] added dtor for object 00456538, func 53932595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.36208] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.36214] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40223] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40227] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40229] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40231] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40232] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40234] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40236] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40237] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.40239] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.40241] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.40242] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.40244] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.40246] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.40481] added dtor for object 00456648, func 53932595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.43672] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.43678] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47686] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47692] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47695] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47696] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47698] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47700] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47702] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47704] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.47705] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.47707] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.47709] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.47711] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.47713] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.47972] added dtor for object 004567B8, func 53932595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.51169] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.51177] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55119] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55124] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55126] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55127] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55129] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55131] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55133] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55134] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.55136] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.55137] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.55139] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.55141] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.55143] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.55380] added dtor for object 00457DA8, func 53932595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.58296] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.58318] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.62418] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.62424] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.62425] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.62428] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.62430] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.62432] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.62434] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.62435] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.62437] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.62438] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.62440] Adapter format is 23
