system   D            wsystem.c:583  maybe_parent_dir                 [   0.00047] Also searching C:\Users\Adam\Documents\Visual Studio 2012\Projects\Parrot_1.0\
display  D   display_settings.c:506  _al_score_display_settings       [   0.01405] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01407] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01408] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01409] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01411] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01412] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01414] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01415] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01421] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01423] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01424] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01425] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01427] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01428] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01430] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01431] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01433] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01434] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01435] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01437] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01438] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01439] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01441] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01442] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01444] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01445] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01447] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01448] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01449] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01451] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01452] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01453] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01455] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01456] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01458] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01459] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01461] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01462] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01463] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01465] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01467] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01468] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01469] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01471] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01472] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01473] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01475] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01476] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01478] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01479] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01480] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01482] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01483] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01484] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01486] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01487] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01489] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01490] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01491] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01492] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01494] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01495] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01497] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01498] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01499] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01500] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01502] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01503] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01505] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01506] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01507] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01509] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01510] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01512] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01513] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01514] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01516] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01517] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01519] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01520] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01521] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.01522] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01524] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01525] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01527] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01528] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01529] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01531] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01532] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01533] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01535] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01536] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01538] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01539] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01541] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01542] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01543] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01545] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01546] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01547] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01549] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01550] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01554] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01556] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01558] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01559] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01560] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01562] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01563] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01564] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01566] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.01567] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.01569] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.01571] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.01609] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.01611] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.16182] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.19582] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.19588] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.19592] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.19599] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.19603] Returning d3d_display: 0042C2C8
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.19604] al_display=0042C2C8
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.19606] al_display->vt=0042C200
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22024] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22027] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22028] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22029] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22030] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22032] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22033] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22034] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.22035] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.22036] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.22037] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.22039] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.22040] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.22258] added dtor for object 0044A598, func 553D2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.27501] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.27505] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.33667] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.33671] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.33672] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.33673] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.33674] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.33676] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.33677] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.33678] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.33679] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.33680] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.33681] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.33683] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.33684] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.33845] added dtor for object 004472A8, func 553D2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.37459] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.37471] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.42062] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.42065] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.42066] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.42067] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.42069] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.42071] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.42073] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.42074] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.42075] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.42076] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.42077] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.42079] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.42080] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.42250] added dtor for object 00445EB0, func 553D2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.44784] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.44790] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.50963] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.50972] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.50973] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.50975] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.50976] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.50979] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.50980] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.50982] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.50983] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.50984] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.50985] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.50987] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.50988] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.51242] added dtor for object 00446EB8, func 553D2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.54925] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.54930] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58911] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58914] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58915] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58916] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58917] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58918] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58919] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58921] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.58922] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.58923] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.58924] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.58925] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.58927] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.59457] added dtor for object 00446A10, func 553D2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.62993] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.62998] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67065] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67068] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67069] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67070] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67071] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67072] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67073] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67075] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.67077] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.67078] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.67079] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.67081] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.67083] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.67258] added dtor for object 00446C60, func 553D2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.70994] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.71000] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.74994] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.74997] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.74998] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.75000] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.75001] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.75002] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.75003] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.75004] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.75005] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.75006] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.75007] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.75009] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.75010] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.75184] added dtor for object 00446D70, func 553D2595
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.78692] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.78710] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82874] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82878] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82879] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82880] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82881] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82882] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82884] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82885] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.82886] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.82887] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.82888] Adapter format is 23
